unique	title	level1	level2	words
329868467	石京龙滑雪场-平日全天滑雪票（不含夜场）	1	1	石京龙滑雪场 - 平日 全天 滑雪 票 （ 不含 夜场 ）
329868465	石京龙滑雪场-周末下午+晚场滑雪票	1	2	石京龙滑雪场 - 周末 下午 + 晚场 滑雪 票
329868464	石京龙滑雪场-周末全天滑雪票（不含夜场）	1	2	石京龙滑雪场 - 周末 全天 滑雪 票 （ 不含 夜场 ）
329868462	石京龙滑雪场-节假日下午+晚场滑雪票	1	3	石京龙滑雪场 - 节假日 下午 + 晚场 滑雪 票
329868461	石京龙滑雪场-节假日全天滑雪票（不含夜场）	1	3	石京龙滑雪场 - 节假日 全天 滑雪 票 （ 不含 夜场 ）
333214958	全天不限时滑雪套票（周末）	1	2	全天 不限时 滑雪 套票 （ 周末 ）
333214957	全天不限时滑雪套票（平日）	1	1	全天 不限时 滑雪 套票 （ 平日 ）
337584833	北京温都水城滑雪场平日单人门票（周末节假日需现场补差价）	1	1	北京 温都水城 滑雪场 平日 单人 门票 （ 周末 节假日 需 现场 补 差价 ）
335573787	【周末2小时】沁园春滑雪场成人票	1	2	【 周末 2 小时 】 沁园春 滑雪场 成人 票
331348201	【预售2017畅滑季12月19-1月20日】大明山门票+滑雪三小时+景区巴士小交通（周末票）	2	2	【 预售 2017 畅 滑 季 12 19-1 月 20 日 】 大明山 门票 滑雪 三小时 + 景区 巴士 小 交通 （ 周末 票 ）
331348130	【预售2017畅滑季12月19-1月20日】大明山门票+滑雪三小时+景区巴士小交通（周末票）	2	2	【 预售 2017 畅 滑 季 12 19-1 月 20 日 】 大明山 门票 滑雪 三小时 + 景区 巴士 小 交通 （ 周末 票 ）
329868544	多乐美地滑雪场-平日1天（自带板）	1	1	多乐 美地 滑雪场 - 平日 1 天 （ 自带 板 ）
329868543	多乐美地滑雪场-平日1.5天（自带板）	1	1	多乐 美地 滑雪场 - 平日 1.5 天 （ 自带 板 ）
329868541	多乐美地滑雪场-周末4小时（自带板）	1	2	多乐 美地 滑雪场 - 周末 4 小时 （ 自带 板 ）
329868538	多乐美地滑雪场-周末2天（自带板	1	2	多乐 美地 滑雪场 - 周末 2 天 （ 自带 板
329868537	多乐美地滑雪场-节假日4小时（自带板）	1	3	多乐 美地 滑雪场 - 节假日 4 小时 （ 自带 板 ）
329868535	多乐美地滑雪场-节假日1.5天（自带板）	1	3	多乐 美地 滑雪场 - 节假日 1.5 天 （ 自带 板 ）
